,Date,Open,High,Low,Close,Volume,Currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
0,2017-07-17,10923.05,10964.95,10921.3,10936.45,22798.0,INR,-6972.58419243887,22798.0,-0.3058419243985819,0.0,0.0,0.0,186928.53022917052,10940.9,50.0,1000.0,10936.45,10936.45,10936.45,0.0,0.0,0.0,0.0,10940.9,10984.550000000003,10897.249999999998,0.7979233883867392,0.4490263459335673,0.0,0.0,10921.3,10964.95,10943.125,0.3991240301926261,0.34707903780070903,0.0,0.0,0.0,0.0,0.0,10936.45,10936.45,10936.45,10936.45,0.0,0.0,0.0,15.18647739494178,1.0,-1429.7388754045369,150.3925865282223,150.3925865282223,0.0,10943.125,10943.125,10943.125,10943.125,0.0,0.0,0.0,0.0,0.0,9480.057139967636,9456.200627022596,4.0,4.0,0.0,10921.3,11055.25,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,34.70790378007091,34.70790378007091,-65.29209621992909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10936.45,15.03925865282223,0.0,0.0
1,2017-07-18,10927.95,11030.15,10921.25,10954.4,37960.0,INR,-21821.95058362362,60758.0,-0.3591617660822216,681381.9999999586,9345146.206533108,9345146.206533108,3490.9539516888967,10958.206231278187,100.0,1000.0,10945.425,10963.375,10927.474999999999,0.32799091858015067,0.75,0.0,0.0,10954.75,11031.025000000001,10878.474999999999,1.3925466122002137,0.4977056702720396,0.0,0.0,10921.25,11030.15,10975.7,0.9949362404840347,0.3044077134986203,0.0,0.0,1.4319088319098228,0.28638176638196455,1.1455270655278582,10945.425,10945.425,10939.211538461539,10937.77962962963,0.06945778814395256,0.027885212144150365,0.0415725759998022,0.0003205664886719529,2.225680933852127,-1438.7138754045354,151.3366564470799,150.8646214876511,0.4720349594287825,10975.7,10975.7,10975.7,10975.7,0.0,0.0,0.0,0.0,66.66666666666667,9480.057139967636,9456.200627022596,8.0,4.0,4.0,10921.3,11055.25,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.730580137659388,30.440771349862025,32.57433756496647,-69.55922865013797,0.0,0.0,0.013091403195131931,0.0026182806390263862,0.010473122556105545,5.0562211257087935,1.0112442251417588,4.044976900567034,10938.707944357902,0.16413004219832938,0.16399549604493302,0.16413004219832938
2,2017-07-19,10965.95,11020.15,10964.95,11012.15,26767.0,INR,-2813.5013082614532,87525.0,-0.03214511634688893,804869.4642856788,3474875.779878215,6410010.993205661,203.41548624882154,10970.707315433685,100.0,1005.2718542320894,10967.666666666666,11032.260285202521,10903.073048130811,1.1778917156950137,0.8443322602266157,0.0,0.0,10969.52777777778,11038.77777777778,10900.277777777776,1.2625885343996197,0.8077416766947375,0.0,0.0,10921.25,11030.15,10975.7,0.992918578852989,0.8347107438016523,0.0,0.0,7.144294283325507,1.6579642697706731,5.486330013554834,10967.666666666666,10967.666666666666,10950.432840236686,10943.28854595336,0.12722849860100335,0.06669161731720442,0.06053688128379893,0.0018728300385845841,3.393672981565828,-1460.9555420712022,153.67623176131485,151.8018249122057,1.8744068491091639,10975.7,10975.7,10975.7,10975.7,0.0,0.0,0.0,0.0,99.99999999999385,9480.057139967636,9456.200627022596,12.0,4.0,8.0,10921.3,11055.25,1.0,0.0,100.0,0.0,0.0,0.0,100.0,41.63994502977516,83.47107438016523,49.53991650336605,-16.528925619834766,0.0,0.0,0.06528471083737752,0.015151566678696615,0.050133144158680906,5.181723161050886,1.8453400123235844,3.336383148727302,10953.033656265488,0.5271854232089312,0.5258006655516567,0.6921807350648512
3,2017-07-20,11043.3,11055.25,10945.2,10960.7,19929.0,INR,-17128.69849136001,67596.0,-0.15940494063841282,543409.9622448707,4238214.411159689,5686078.799190338,48.00119885388628,10973.73831810201,76.44926747831558,1000.5751113707735,10965.925,11022.189131558212,10909.660868441786,1.0261629832086794,0.4535672207559754,0.0,0.0,10973.908333333333,11053.358333333334,10894.458333333332,1.447980019273001,0.41687644220684705,0.0,0.0,10921.25,11055.25,10988.25,1.2219671391150315,0.2944029850746323,0.0,0.0,7.434119987048689,2.8131954132262766,4.620924573822412,10965.925,10965.925,10952.012403277196,10944.578283290148,0.17100427571266485,0.10548275822772442,0.06552151748494044,0.0032609837223043867,4.6832358403113235,-1459.2138754045354,153.49302784948455,152.2246256465254,1.2684022029591517,10988.25,10988.25,10988.25,10988.25,0.0,0.0,0.0,0.0,45.73002754821384,9480.057139967636,9456.200627022596,12.0,4.0,8.0,10921.25,11055.25,0.0,0.0,57.32142668204393,0.0,0.0,0.0,94.07872958178504,32.40444647479809,29.44029850746323,47.78404807916349,-70.55970149253677,0.0,0.0,0.0679251387730387,0.025706281097565033,0.04221885767547366,3.0343365705435006,2.0831393239675675,0.9511972465759331,10955.042679062639,-0.4672112167015463,-0.46830605979089057,0.22173557232922914
4,2017-07-21,10964.9,10978.7,10867.7,10955.4,36597.0,INR,4104.155562693322,30999.0,0.028490989737616025,438070.8104955978,-23361955.898024317,-1575929.8751133261,-110.80684751633562,10963.625628654667,53.44654072011795,1000.5751113707735,10963.82,11014.843704295161,10912.796295704838,0.9307650854384918,0.4174893305345671,0.0,0.0,10965.913333333334,11051.673333333334,10880.153333333332,1.5641196021368238,0.43870491293532426,0.0,0.0,10867.7,11055.25,10961.475,1.7106264057600296,0.4676086376966102,0.0,0.0,7.153680068460744,3.68129234427317,3.4723877241875742,10963.82,10963.82,10952.533572003782,10945.379891935321,0.1788354537458275,0.20033022929030336,-0.021494775544475875,0.004378463481520401,6.018964324777551,-1457.1088754045359,153.27160532255473,152.43402158173126,0.8375837408234759,10961.475,10961.475,10961.475,10961.475,0.0,0.0,0.0,0.0,-93.5197099075895,9480.057139967636,9456.200627022596,12.0,4.0,8.0,10921.25,11055.25,0.0,1.0,54.73016185827933,0.0,0.0,0.0,89.08305330799075,44.17890064868519,46.76086376966102,53.22407888576316,-53.23913623033898,0.0,0.0,0.06535798792814543,0.03363662246368111,0.031721365464464316,6.584562963920036,2.9834240519580613,3.601138911961975,10955.138002783497,-0.048354575893883034,-0.04836627048891984,0.17327377713973746
5,2017-07-24,10965.95,10995.05,10925.55,10968.8,28216.0,INR,11005.910958376775,59215.0,0.0638886783793575,429502.75185336807,9138254.890841717,566907.0780776825,16.815825119839644,10963.54499449498,62.231569112411925,1001.7989559124942,10964.65,11011.375724535135,10917.924275464864,0.8522976024795259,0.5444080861376374,0.0,0.0,10965.449999999999,11048.5,10882.4,1.514757716281597,0.5201685731487022,0.0,0.0,10867.7,11055.25,10961.475,1.7104969150862022,0.5390562516662166,0.0,0.0,7.921384632887566,4.52931080199605,3.3920738308915164,10964.65,10964.65,10955.036099387815,10947.114714754927,0.2385830950325793,0.22072445630002582,0.017858638732553472,0.005497279235349377,7.25474697519939,-1457.9388754045358,153.35891206713987,152.58816999596604,0.770742071173828,10961.475,10961.475,10961.475,10961.475,0.0,0.0,0.0,0.0,-7.936054810165395,9480.057139967636,9456.200627022596,12.0,4.0,8.0,10921.25,11055.25,0.0,0.0,59.69156337267904,0.0,0.0,0.0,85.34510061674216,46.644394222265575,53.90562516662167,43.3689291479153,-46.09437483337833,4.545000000000073,0.0,0.07236047889596726,0.04138139375013834,0.030979085145828922,6.614217131453996,3.7095826678572483,2.904634463596748,10959.3694954365,0.12231410993663872,0.12223936717035144,0.295799825354659
6,2017-07-25,10993.3,11003.7,10922.0,10932.5,30077.0,INR,-11340.158809065153,29138.0,-0.056043958847631505,212174.48730289008,692672.141503777,587867.9219820315,-65.02427222667093,10961.937917770398,51.81801713802321,1001.7989559124942,10960.057142857142,11008.818381226843,10911.29590448744,0.8897989806828698,0.21742777892342172,0.0,0.0,10963.633333333333,11046.490476190476,10880.77619047619,1.5114905859762389,0.3121264367816105,0.0,0.0,10867.7,11055.25,10961.475,1.7112137058722257,0.3455078645694456,0.0,0.0,5.536863882705802,4.730821418138,0.8060424645678017,10960.057142857142,10960.057142857142,10951.569007174305,10946.032143291599,0.2678368100023244,0.24816236227009852,0.019674447732225875,0.005909914779495077,8.45190272613468,-1453.3460182616782,152.87579471113074,152.62925924098957,0.2465354701411684,10961.475,10961.475,10961.475,10961.475,0.0,0.0,0.0,0.0,-39.84334203655676,9480.057139967636,9456.200627022596,12.0,28.000000000000004,-16.000000000000004,10921.25,11051.499,0.0,0.0,45.23016940710331,0.0,0.0,0.0,78.81237035387161,41.96935060536755,34.55078645694456,45.07242513107574,-65.44921354305544,2.403571428572832,0.0,0.0505832963965772,0.04322177427942611,0.00736152211715109,7.101773853518166,4.388020904989432,2.713752948528734,10952.526810334602,-0.3309386623878585,-0.33148747553699565,-0.036117753018583
7,2017-07-26,10951.6,11018.05,10935.45,11003.55,25039.0,INR,4907.908987544861,54177.0,0.021584326829819575,436009.69625961746,4585406.765445703,1158944.8996196988,63.19131233477793,10964.552719493833,57.72491729197236,1008.3096182328767,10965.49375,11019.419982890402,10911.567517109597,0.9835623296106004,0.8528547050314427,0.0,0.0,10966.389583333334,11049.214583333334,10883.564583333333,1.510524487035875,0.7243309186034734,0.0,0.0,10867.7,11055.25,10961.475,1.71036529932817,0.7243401759530742,0.0,0.0,9.27335772364313,5.639328679239027,3.6340290444041035,10965.49375,10965.49375,10959.566082993642,10950.29272527,0.30281884954187527,0.27065241828031916,0.032166431261556105,0.007088854306185082,9.618881763388526,-1458.7826254045358,153.44766515839737,152.73155998066554,0.7161051777318335,10961.475,10961.475,10961.475,10961.475,0.0,0.0,0.0,0.0,68.72982299899797,9480.057139967636,9456.200627022596,12.0,28.000000000000004,-16.000000000000004,10921.25,11047.82302,0.0,0.0,63.74464756832431,0.0,0.0,0.0,74.73815364661444,49.02779566116038,72.43401759530742,53.63014307295788,-27.565982404692576,-2.172500000000582,0.0,0.08468593448870089,0.05151460632128106,0.03317132816741983,5.902943267687921,4.69100537752913,1.211937890158791,10963.213305553078,0.6498970958152217,0.6477943700915034,0.6135446145687062
8,2017-07-27,11043.1,11109.2,10885.0,10919.0,41974.0,INR,-24335.350602107275,12203.0,-0.09034608568593827,-133263.3603488949,10869752.704055121,2372795.8751741266,-159.79560637357883,10965.56779026843,47.894991907296124,1008.3096182328767,10960.327777777777,11018.97004753662,10901.685508018933,1.0700824089903984,0.1476280851020112,0.0,0.0,10966.909259259259,11065.442592592593,10868.375925925926,1.7969207368091058,0.25688806194557107,0.0,0.0,10867.7,11109.2,10988.45,2.203401256754791,0.2124223602484442,0.0,0.0,5.350401528097791,5.58154324901078,-0.2311417209129889,10960.327777777777,10960.327777777777,10953.325147148467,10947.97474562037,0.3485480484928237,0.3019151404742321,0.0466329080185916,0.0072068801847044546,11.053868086502487,-1453.6166531823128,152.90426248690386,152.75074914802536,0.15351333887849705,10988.45,10988.45,10988.45,10988.45,0.0,0.0,0.0,0.0,16.21094690222644,9480.057139967636,9456.200627022596,12.0,36.0,-24.0,10867.7,11047.82302,1.0,0.0,44.47665690558695,0.0,0.0,0.0,64.58815274661346,41.23437257711765,21.24223602484442,42.742346692365466,-78.75776397515558,-6.1599999999998545,0.0,0.04887115336321147,0.05098591572966715,-0.0021147623664556844,9.743151740404349,5.701434650104174,4.041717090300175,10953.316380540475,-0.7683883837488747,-0.7713556973925506,-0.15955817472763645
9,2017-07-28,10886.8,10950.15,10866.8,10934.85,24807.0,INR,-8635.65954031916,37010.0,-0.02935661583442964,-58055.60172762292,-29777456.96779179,-1199454.440710975,-286.5135453417432,10961.494531905104,43.53501167571693,1009.7732785908757,10957.78,11015.474942585985,10900.085057414017,1.0530407178458387,0.30128240906187514,0.0,0.0,10961.945,11058.960000000001,10864.93,1.7700325991418555,0.36035664587950234,0.0,0.0,10866.8,11109.2,10988.0,2.2121269089176954,0.28073432343234606,98.36500000000015,0.0,3.4802745768502064,5.161289514578665,-1.6810149377284587,10957.78,10957.78,10950.482816817934,10947.002542241084,0.363600143815077,0.3924963479049684,-0.02889620408989141,0.006878155999224877,12.3309548504366,-1451.0688754045368,152.63626467521206,153.0000467199131,-0.3637820447010256,10988.0,10988.0,10988.0,10988.0,0.0,0.0,0.0,0.0,-144.66498294694438,9480.057139967636,9456.200627022596,12.0,36.0,-24.0,10867.7,11109.2,0.0,1.0,47.66998748235626,0.0,0.0,0.0,57.645020740445794,42.982903321692675,28.073432343234604,40.58322865446215,-71.9265676567654,-2.9325000000008004,0.0,0.03179203223367225,0.047147139030468174,-0.015355106796795921,7.7450946867563335,6.110166657434607,1.6349280293217268,10947.780777974735,0.14515981316971516,0.14505455815925217,-0.014629975906266246
